census_id,csdname,office,deputy_mayor,district_scope,districts,n_districts,seats_per_district,max_votes,source_url
3518005,Ajax,"Councillor, Regional",FALSE,Ward,Wards 1-3,3,1,1,https://elections.ajax.ca/voters
3518005,Ajax,"Councillor, Local",FALSE,Ward,Wards 1-3,3,1,1,https://elections.ajax.ca/voters
3519046,Aurora,"Councillor, Ward",FALSE,Ward,Wards 1-6,6,1,1,https://www.aurora.ca/your-government/elections-2026/auroras-ward-system/; https://www.aurora.ca/your-government/council-members/
3543042,Barrie,Councillor,FALSE,Ward,Wards 1-10,10,1,1,https://www.barrie.ca/government-news/mayor-council-committees/city-council
3543014,Bradford West Gwillimbury,Councillor,FALSE,Ward,Wards 1-7,7,1,1,https://www.townofbwg.com/town-hall/council/council-members/
3543014,Bradford West Gwillimbury,Deputy Mayor,TRUE,At-large,At-large,1,1,1,https://www.townofbwg.com/town-hall/council/council-members/
3521010,Brampton,"Councillor, Regional",FALSE,Ward-pair,1&5;2&6;3&4;7&8;9&10,5,1,1,https://elections2022.amo.on.ca/web/en/municipal/10108; https://www.brampton.ca/EN/City-Hall/Election
3521010,Brampton,"Councillor, City",FALSE,Ward-pair,1&5;2&6;3&4;7&8;9&10,5,1,1,https://www.brampton.ca/EN/City-Hall/election/Documents/2022%20Brampton%20Municipal%20Election%20-%20Official%20Results.pdf
3529006,Brantford,Councillor,FALSE,Ward,Wards 1-5,5,2,2,https://www.brantford.ca/your-government/city-council/
3524002,Burlington,"Councillor, City and Regional",FALSE,Ward,Wards 1-6,6,1,1,https://www.burlington.ca/en/council-and-city-administration/council-members-and-wards.aspx
3530010,Cambridge,"Councillor, Ward",FALSE,Ward,Wards 1-8,8,1,1,https://www.cambridge.ca/mayor-city-council-government/elections/nominations-candidate-profiles/#RegionalCouncillors(Cambridge)
3536020,Chatham-Kent,Councillor,FALSE,Ward,Wards 1;2;5;6;7;8,6,2,2,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx
3536020,Chatham-Kent,Councillor,FALSE,Ward,Wards 3;4,2,1,1,https://www.chatham-kent.ca/localgovernment/elections/Pages/2026-Municipal-Election.aspx
3518017,Clarington,"Councillor, Local",FALSE,Ward,Wards 1-4,4,1,1,https://www.clarington.net/clarington-elections/voters/whos-running/
3518017,Clarington,"Councillor, Regional",FALSE,Ward-pair,1&2;3&4,2,1,1,https://www.clarington.net/clarington-elections/voters/whos-running/
3519070,Georgina,"Councillor, Regional",FALSE,At-large,At-large,1,1,1,https://www.georgina.ca/municipal-government/2026-election
3519070,Georgina,"Councillor, Ward",FALSE,Ward,Wards 1-5,5,1,1,https://www.georgina.ca/municipal-government/2026-election
3553005,Greater Sudbury / Grand Sudbury,Councillor,FALSE,Ward,Wards 1-12,12,1,1,https://www.greatersudbury.ca/city-hall/municipal-schoolboard-elections/for-voters/registered-candidates/
3523008,Guelph,Councillor,FALSE,Ward,Wards 1-6,6,2,2,https://guelph.ca/city-government/mayor-and-council/council-composition-and-ward-boundary-review/city-council-composition/
3528018,Haldimand County,Councillor,FALSE,Ward,Wards 1-7,7,1,1,https://www.haldimandcounty.ca/news/posts/haldimand-county-adopting-seven-ward-model-for-2026-municipal-election/
